날짜,요일,인원,데이터기준일자
2019-07-19,금,"1,624",2021-08-27
2019-07-20,토,"1,147",2021-08-27
2019-07-21,일,"2,063",2021-08-27
2019-07-22,월,"1,838",2021-08-27
2019-07-23,화,801,2021-08-27
2019-07-24,수,895,2021-08-27
2019-07-25,목,"1,242",2021-08-27
2019-07-26,금,"1,851",2021-08-27
2019-07-27,토,"2,034",2021-08-27
2019-07-28,일,"3,148",2021-08-27
2019-07-29,월,"3,309",2021-08-27
2019-07-30,화,"2,577",2021-08-27
2019-07-31,수,"2,657",2021-08-27
2019-08-01,목,"3,657",2021-08-27
2019-08-02,금,"5,600",2021-08-27
2019-08-03,토,"18,432",2021-08-27
2019-08-04,일,"4,462",2021-08-27
2019-08-05,월,"3,170",2021-08-27
2019-08-06,화,"2,929",2021-08-27
2019-08-07,수,"2,851",2021-08-27
2019-08-08,목,"2,477",2021-08-27
2019-08-09,금,"2,123",2021-08-27
2019-08-10,토,"4,114",2021-08-27
2019-08-11,일,"3,141",2021-08-27
2019-08-12,월,"2,057",2021-08-27
2019-08-13,화,"2,522",2021-08-27
2019-08-14,수,"1,095",2021-08-27
2019-08-15,목,"4,492",2021-08-27
2019-08-16,금,"3,351",2021-08-27
2019-08-17,토,"4,207",2021-08-27
2019-08-18,일,"3,252",2021-08-27
2019-08-19,월,"1,446",2021-08-27
2019-08-20,화,"1,235",2021-08-27
2019-08-21,수,"1,358",2021-08-27
2019-08-22,목,"1,292",2021-08-27
2019-08-23,금,"1,404",2021-08-27
2019-08-24,토,"3,040",2021-08-27
2019-08-25,일,"2,801",2021-08-27
2019-08-26,월,"1,898",2021-08-27
2019-08-27,화,500,2021-08-27
2019-08-28,수,981,2021-08-27
2019-08-29,목,"1,322",2021-08-27
2019-08-30,금,"1,871",2021-08-27
2019-08-31,토,"2,760",2021-08-27
2019-09-01,일,"2,207",2021-08-27
2019-09-02,월,241,2021-08-27
2019-09-03,화,309,2021-08-27
2019-09-04,수,446,2021-08-27
2019-09-05,목,"1,068",2021-08-27
2019-09-06,금,619,2021-08-27
2019-09-07,토,343,2021-08-27
2019-09-08,일,"2,160",2021-08-27
2019-09-09,월,364,2021-08-27
2019-09-10,화,946,2021-08-27
2019-09-11,수,"1,171",2021-08-27
2019-09-12,목,"13,346",2021-08-27
2019-09-13,금,"21,184",2021-08-27
2019-09-14,토,"21,675",2021-08-27
2019-09-15,일,"5,624",2021-08-27
2019-09-16,월,500,2021-08-27
2019-09-17,화,612,2021-08-27
2019-09-18,수,921,2021-08-27
2019-09-19,목,"1,029",2021-08-27
2019-09-20,금,"1,120",2021-08-27
2019-09-21,토,825,2021-08-27
2019-09-22,일,451,2021-08-27
2019-09-23,월,900,2021-08-27
2019-09-24,화,925,2021-08-27
2019-09-25,수,"1,415",2021-08-27
2019-09-26,목,"1,878",2021-08-27
2019-09-27,금,"2,234",2021-08-27
2019-09-28,토,"2,772",2021-08-27
2019-09-29,일,"3,451",2021-08-27
2019-09-30,월,"1,584",2021-08-27
2019-10-01,화,"1,323",2021-08-27
2019-10-02,수,542,2021-08-27
2019-10-03,목,"3,534",2021-08-27
2019-10-04,금,"3,128",2021-08-27
2019-10-05,토,"5,503",2021-08-27
2019-10-06,일,"4,328",2021-08-27
2019-10-07,월,"1,184",2021-08-27
2019-10-08,화,"1,787",2021-08-27
2019-10-09,수,"5,529",2021-08-27
2019-10-10,목,"2,396",2021-08-27
2019-10-11,금,"2,759",2021-08-27
2019-10-12,토,"6,075",2021-08-27
2019-10-13,일,"4,728",2021-08-27
2019-10-14,월,"1,426",2021-08-27
2019-10-15,화,"2,071",2021-08-27
2019-10-16,수,"2,031",2021-08-27
2019-10-17,목,"2,493",2021-08-27
2019-10-18,금,"2,450",2021-08-27
2019-10-19,토,"5,977",2021-08-27
2019-10-20,일,"5,229",2021-08-27
2019-10-21,월,"1,812",2021-08-27
2019-10-22,화,"2,103",2021-08-27
2019-10-23,수,"2,137",2021-08-27
2019-10-24,목,"3,140",2021-08-27
2019-10-25,금,"2,915",2021-08-27
2019-10-26,토,"7,960",2021-08-27
2019-10-27,일,"8,010",2021-08-27
2019-10-28,월,"2,157",2021-08-27
2019-10-29,화,"2,834",2021-08-27
2019-10-30,수,"2,189",2021-08-27
2019-10-31,목,"2,180",2021-08-27
2019-11-01,금,"2,280",2021-08-27
2019-11-02,토,"7,845",2021-08-27
2019-11-03,일,"7,504",2021-08-27
2019-11-04,월,"2,009",2021-08-27
2019-11-05,화,"2,100",2021-08-27
2019-11-06,수,"1,960",2021-08-27
2019-11-07,목,"2,855",2021-08-27
2019-11-08,금,"2,364",2021-08-27
2019-11-09,토,"7,780",2021-08-27
2019-11-10,일,"4,264",2021-08-27
2019-11-11,월,"3,786",2021-08-27
2019-11-12,화,"1,361",2021-08-27
2019-11-13,수,"1,471",2021-08-27
2019-11-14,목,"1,284",2021-08-27
2019-11-15,금,"2,684",2021-08-27
2019-11-16,토,"4,006",2021-08-27
2019-11-17,일,"4,085",2021-08-27
2019-11-18,월,"1,111",2021-08-27
2019-11-19,화,952,2021-08-27
2019-11-20,수,"1,082",2021-08-27
2019-11-21,목,"1,146",2021-08-27
2019-11-22,금,"1,352",2021-08-27
2019-11-23,토,"3,637",2021-08-27
2019-11-24,일,"3,505",2021-08-27
2019-11-25,월,624,2021-08-27
2019-11-26,화,840,2021-08-27
2019-11-27,수,448,2021-08-27
2019-11-28,목,677,2021-08-27
2019-11-29,금,"1,027",2021-08-27
2019-11-30,토,"2,441",2021-08-27
2019-12-01,일,"1,779",2021-08-27
2019-12-02,월,692,2021-08-27
2019-12-03,화,856,2021-08-27
2019-12-04,수,876,2021-08-27
2019-12-05,목,611,2021-08-27
2019-12-06,금,905,2021-08-27
2019-12-07,토,"1,942",2021-08-27
2019-12-08,일,"2,126",2021-08-27
2019-12-09,월,"1,655",2021-08-27
2019-12-10,화,"1,041",2021-08-27
2019-12-11,수,632,2021-08-27
2019-12-12,목,"1,184",2021-08-27
2019-12-13,금,"1,211",2021-08-27
2019-12-14,토,"2,140",2021-08-27
2019-12-15,일,"2,522",2021-08-27
