전시회 개최년도,전시회 한글명,전시회 영문 약칭명,전시회 영문명 전체명 ,전시회 분류,전시회 개최주기,전시회 개최국가,전시회 개최도시,전시회 개최건물,전시 분야,전시 품목,전시회 시작일,전시회 종료일,총 참가국 수,총 참가업체,참가규모 부스 수,참가규모 업체 수,국내참가 기업수,한국참가 주관단체명,한국참가 주관단체 주소,전시회 모집기간 시작일,전시회 모집기간 종료 일
2017,2018 상반기 독일 프리미엄 베를린 국제패션박람회,Premium Berlin,International Fashion Trade Show,기타,연2회,독일,베를린,베를린스테이션,패션,"여성복, 남성복, 캐주얼의류, 패션잡화 등",2018-01-17,2018-01-19,46,1800,10,10,32,사단법인 대한패션디자이너협회,서울강남구논현동 6-21 세양ApexTower 714호,2017-09-04,2017-09-15
2017,2017 브라질 상파울루 국제 의료기기 전시회,Hospitalar 2017,"24th International Fair for Products,Equipment and Services for Hospitals,Clinics and Laboratories",기타,매년,브라질,상파울루,상파울루 엑스포센터,의료기기,의료기기전품목,2017-05-16,2016-05-19,35,1214,35,34,36,한국의료기기공업협동조합,서울 중구 퇴계로 450 신영빌딩 7층,2017-01-13,2017-04-28
2017,2017 중국 베이징 제25회 MICF 산모유아제품 전시회,MICF 2017 Beijing China,The 25th Mother-Infant-Child Products Fair,기타,매년,중국,북경,북경국제전람센터(신관),산모·유아 전시회,산모·출산·유아·어린이용품 소비재,2017-03-25,2017-03-27,25,1450,40,40,40,(사)한국글로벌에너지환경경제연구소,"서울 송파구 올림픽로32길 44 (방이동100, 삼광빌딩 2층)",2016-09-20,2017-02-03
2017,2017 말레이시아 쿠알라룸푸르 오일 앤 가스 산업전,OGA 2017,"Asian Oil, Gas & Petrochemical Engineering Exhibition",기타,격년,말레이지아,쿠알라룸푸르,KLCC,"오일앤가스관련 측정기, 플랜트 관련 측정기 등","오일앤가스관련 측정기, 플랜트 관련 측정기 등",2017-07-11,2017-07-13,60,2252,11,10,500,한국계측기기연구조합,"경기 부천시 원미구 송내대로 388 203-90(약대동,부천테크노파크)",2017-03-09,2017-04-13
2017,2017 태국 방콕 금형전시회,INTERMOLD THAILAND 2017,Internaional Trade Exhibition For Mold Die Manufacturing & Technology,기타,매년,태국,방콕,Bangkok International Trade & Exhibition Centre,기계 금속,"금형 및 표준부품, 다이, 금형가공기계, 표면처리, 도구 및 측정, 소재, CAD/CAM/CAE 등",2017-06-21,2017-06-24,16,827,12,12,18,한국금형공업협동조합,서울 금천구 독산동 287-2번지 금형회관 6층,2017-05-15,2017-05-19
2017,2017 독일 뒤셀도르프 국제산업안전전시회,A+A 2017,"International Trade Fair Safety, Security and Health at Work",기타,격년,독일,뒤셀도르프,국제전시장,개인보호구 등 산업안전보건분야,"개인보호구, 안전보건장비, 소방안전, 가스안전, 작업환경개선",2017-10-17,2017-10-20,55,1896,20,20,47,(사)안전보호구협회,서울 영등포구 여의도동 17-1 금산빌딩 613호,2017-06-19,2017-09-12
2017,2017 중국국제표면처리전,SF CHINA,SF CHINA,기타,매년,중국,상해,Shanghai New International Expo Centre(SNIEC),"도금 제품, 설비, 장비, 소재, 페인트, 첨가제, 환경, 안전설비 등","도금 제품, 설비, 장비, 소재, 페인트, 첨가제, 환경, 안전설비 등",2017-11-15,2017-11-17,0,0,10,10,0,한국표면처리공업협동조합,인천광역시 남동구 남동대로 916번길 23 303호,2017-07-01,2017-07-31
2017,2017 중국 상하이 식품박람회,FHC China 2017,"21th International Exhibition for Food, Drink, Hospitality, Foodservice, Bakery & Retail Industries",기타,매년,중국,상해,SNIEC,식음료 / 주방용품 / 유통 / 도소매,식음료 / 주방용품 / 유통 / 도소매,2017-11-14,2017-11-16,0,0,12,11,0,한국무역협회,서울 강남구 삼성1동 무역센터 트레이드타워  47층 국제협력실,2017-06-19,2017-07-27
2017,2017 홍콩식품박람회,HKTDC Food Expo,HKTDC Food Expo 2017,기타,매년,중국,홍콩,홍콩종합전시장,식품,"제빵, 제과, 음료, 가공식품, 유제품,",2017-08-17,2017-08-21,0,0,10,10,0,한국무역협회,서울 강남구 삼성1동 무역센터 트레이드타워  47층 국제협력실,2017-02-16,2017-03-08
2017,코리아 서비스 콘텐츠 마켓 2017,KSCM 2017,Korea Service & Content Market 2017,기타,매년,가나,서울,COEX,"교육, 금융, SW, 관광, 콘텐츠, 의료, 물류","교육, 금융, SW, 관광, 콘텐츠, 의료, 물류",2017-09-19,2017-09-20,0,0,200,600,0,대한무역투자진흥공사,서울 서초구 염곡동 대한무역투자진흥공사(코트라) 300-9,2017-03-07,2017-05-04
2017,2017 멕시코 멕시코시티 국제 플라스틱 전시회,PLASTICMAGEN MEXICO 2017,PLASTICMAGEN MEXICO 2017,기타,기타,멕시코,멕시코시티,Centro Banamex,"기계, 금속","기계, 금속",2017-11-07,2017-11-10,22,812,10,10,7,한국금형공업협동조합,서울 금천구 독산동 287-2번지 금형회관 6층,2017-09-16,2017-10-18
2017,중국 상해 원예자재전시회,IPM SHANGHAI,HORTIEXPO IPM SHANGHAI,기타,격년,중국,상해,상해신국제엑스포센터,원예 및 자재 관련,원예기자재 시설기자재 화훼 원예용품 등,2017-05-10,2017-05-12,30,490,10,10,10,한국농기계공업협동조합,충남 천안시 서북구 성거읍 정자1길 180,2017-01-01,2017-03-31
2017,2017 유럽 국제파스너전시회,FFS2017,Fastener Fair Stuttgart 2017,기타,매년,독일,Stuttgart,Messe Stuttgart,파스너와 그 유관 제품 및 기술,"각종 볼트, 너트, 스크류 등",2017-03-28,2017-03-30,42,833,11,10,9,한국파스너공업협동조합,"서울 영등포구 국회대로 750, 811 (여의도동, 금산빌딩)",2016-11-01,2017-03-20
2017,2017 미국 라스베가스 산업용파스너전,NIF&MSE2017,National Industrial Fastener & Mill Supply Expo 2017,기타,매년,미국,Las Vegas,Las Vegas Convention Center,파스너와 그 유관 제품 및 기술,"각종 볼트, 너트, 스크류 등",2017-10-18,2017-10-19,18,618,11,10,8,한국파스너공업협동조합,"서울 영등포구 국회대로 750, 811 (여의도동, 금산빌딩)",2016-11-01,2017-12-22
2017,2017 라스베가스 디지털사이니지 박람회,DSE 2017,Digital Signage Expo,기타,매년,미국,라스베가스,LVCC South hall,전자산업,"영사용 스크린, 광고마케팅, LCD·LED 디스플레이 제품 영상",2017-03-29,2017-03-30,18,243,15,15,11,한국전자정보통신산업진흥회,서울 마포구 상암동 1599 전자회관빌딩 11층/12층,2017-03-01,2017-04-28
2017,KITA 해외마케팅종합대전 2017,KGSF 2017,Korea Grand Sourcing Fair 2017,기타,매년,가나,"대한민국, 서울",코엑스,"식품, 뷰티, 생활가전, 의류, 전기·전자 등 종합품목","식품, 뷰티, 생활가전, 의류, 전기·전자 등 종합품목",2017-12-05,2017-12-06,20,730,120,730,650,한국무역협회,서울 강남구 삼성1동 무역센터 트레이드타워  47층 국제협력실,2017-11-01,2017-11-30
2017,제5회 베트남 국제 베이비 & 키즈페어,Viet Baby 2017,"Vietnam Int'l Maternity, Baby & Kids Fair 2017",기타,매년,베트남,호치민,SECC,생활용품,"임신/출산/육아용품, 식품, 외출/안전용품, 완구/교육제품 등",2017-11-02,2017-11-04,14,196,41,40,40,중소기업중앙회,서울시 영등포구 은행로30 중소기업중앙회 3층,2017-09-01,2017-10-30
